accession	species	length	disorder_content	n_disordered_residues	n_disordered_regions	longest_idr	idr_source
P40222	Homo_sapiens	546	0.43	235	2	170	prediction-disorder-mobidb_lite
P04114	Homo_sapiens	4563	0.013	58	11	14	prediction-disorder-th_50
P61026	Homo_sapiens	200	0.14	28	5	11	prediction-disorder-th_50
P40939	Homo_sapiens	763	0.014	11	1	11	curated-disorder-merge
P46100	Homo_sapiens	2492	0.491	1224	8	512	prediction-disorder-mobidb_lite
Q9NPC7	Homo_sapiens	610	0.107	65	2	36	prediction-disorder-mobidb_lite
O75131	Homo_sapiens	537	0.028	15	2	13	prediction-disorder-th_50
Q14247	Homo_sapiens	550	0.187	103	2	76	prediction-disorder-mobidb_lite
P46199	Homo_sapiens	727	0.045	33	10	14	prediction-disorder-th_50
P42566	Homo_sapiens	896	0.172	154	2	89	prediction-disorder-mobidb_lite
Q8IWX8	Homo_sapiens	916	0.443	406	3	214	prediction-disorder-mobidb_lite
Q92698	Homo_sapiens	747	0.055	41	1	41	prediction-disorder-mobidb_lite
P31689	Homo_sapiens	397	0.116	46	1	46	prediction-disorder-mobidb_lite
Q12986	Homo_sapiens	1120	0.271	303	2	274	prediction-disorder-mobidb_lite
Q9UNQ2	Homo_sapiens	313	0.067	21	1	21	prediction-disorder-mobidb_lite
Q9UI26	Homo_sapiens	975	0.032	31	4	19	prediction-disorder-th_50
Q13084	Homo_sapiens	256	0.137	35	7	16	prediction-disorder-th_50
Q9NW64	Homo_sapiens	420	0.214	90	2	49	prediction-disorder-mobidb_lite
Q9NUQ3	Homo_sapiens	528	0.205	108	3	43	prediction-disorder-mobidb_lite
Q7Z6Z7	Homo_sapiens	4374	0.229	1000	18	277	prediction-disorder-mobidb_lite
O43264	Homo_sapiens	779	0.024	19	4	9	prediction-disorder-th_50
Q15654	Homo_sapiens	476	0.502	239	2	146	prediction-disorder-mobidb_lite
Q9BXP5	Homo_sapiens	876	0.315	276	4	142	prediction-disorder-mobidb_lite
P62195	Homo_sapiens	406	0.094	38	3	16	prediction-disorder-th_50
P78316	Homo_sapiens	857	0.331	284	3	159	prediction-disorder-mobidb_lite
P35611	Homo_sapiens	737	0.338	249	3	162	prediction-disorder-mobidb_lite
Q13435	Homo_sapiens	895	0.498	446	6	177	prediction-disorder-mobidb_lite
O00429	Homo_sapiens	736	0.092	68	1	68	prediction-disorder-mobidb_lite
Q96IZ6	Homo_sapiens	378	0.063	24	5	10	prediction-disorder-th_50
O75175	Homo_sapiens	753	0.392	295	1	295	prediction-disorder-mobidb_lite
Q9NVP1	Homo_sapiens	670	0.207	139	1	139	prediction-disorder-mobidb_lite
Q92945	Homo_sapiens	711	0.544	387	4	147	prediction-disorder-mobidb_lite
Q9ULW0	Homo_sapiens	747	0.108	81	2	47	prediction-disorder-mobidb_lite
Q9H0D6	Homo_sapiens	950	0.148	141	2	101	prediction-disorder-mobidb_lite
P63167	Homo_sapiens	89	0.09	8	2	6	prediction-disorder-th_50
Q02878	Homo_sapiens	288	0.167	48	1	48	prediction-disorder-mobidb_lite
Q9H501	Homo_sapiens	851	0.398	339	5	181	prediction-disorder-mobidb_lite
P00973	Homo_sapiens	400	0.147	59	8	18	prediction-disorder-th_50
Q92616	Homo_sapiens	2671	0.022	60	8	17	prediction-disorder-th_50
P05388	Homo_sapiens	317	0.076	24	1	24	prediction-disorder-mobidb_lite
P49023	Homo_sapiens	591	0.455	269	3	122	prediction-disorder-mobidb_lite
Q9UJA5	Homo_sapiens	497	0.316	157	4	79	prediction-disorder-mobidb_lite
P30086	Homo_sapiens	187	0.118	22	6	10	prediction-disorder-th_50
P35637	Homo_sapiens	526	0.797	419	3	286	prediction-disorder-mobidb_lite
Q14697	Homo_sapiens	944	0.061	58	1	58	prediction-disorder-mobidb_lite
Q96IZ5	Homo_sapiens	413	0.061	25	1	25	prediction-disorder-mobidb_lite
Q9GZR7	Homo_sapiens	859	0.304	261	4	110	prediction-disorder-mobidb_lite
Q7L7V1	Homo_sapiens	743	0.038	28	1	28	prediction-disorder-mobidb_lite
P51003	Homo_sapiens	745	0.259	193	3	128	prediction-disorder-mobidb_lite
O75909	Homo_sapiens	580	0.55	319	1	319	prediction-disorder-mobidb_lite
P57723	Homo_sapiens	403	0.141	57	9	22	prediction-disorder-th_50
Q9Y291	Homo_sapiens	106	0.236	25	1	25	prediction-disorder-mobidb_lite
Q9Y266	Homo_sapiens	331	0.269	89	2	47	prediction-disorder-mobidb_lite
Q8IVL5	Homo_sapiens	708	0.096	68	7	19	prediction-disorder-th_50
Q08378	Homo_sapiens	1498	0.256	383	7	118	prediction-disorder-mobidb_lite
Q13310	Homo_sapiens	644	0.037	24	1	24	prediction-disorder-mobidb_lite
P49588	Homo_sapiens	968	0.021	20	6	7	prediction-disorder-th_50
O95239	Homo_sapiens	1232	0.033	41	2	21	prediction-disorder-mobidb_lite
Q8NDV7	Homo_sapiens	1962	0.566	1110	12	424	prediction-disorder-mobidb_lite
Q9P2N5	Homo_sapiens	1060	0.314	333	6	94	prediction-disorder-mobidb_lite
Q96PZ0	Homo_sapiens	661	0.147	97	1	97	prediction-disorder-mobidb_lite
P09622	Homo_sapiens	509	0.016	8	2	4	prediction-disorder-th_50
Q9NYL2	Homo_sapiens	800	0.186	149	1	149	prediction-disorder-mobidb_lite
P07954	Homo_sapiens	510	0.08	41	7	16	prediction-disorder-th_50
Q9UKY7	Homo_sapiens	258	0.907	234	1	234	prediction-disorder-mobidb_lite
Q6P6C2	Homo_sapiens	394	0.401	158	3	96	prediction-disorder-mobidb_lite
O75391	Homo_sapiens	227	0.392	89	2	46	prediction-disorder-mobidb_lite
Q86UP3	Homo_sapiens	3567	0.28	997	19	104	prediction-disorder-mobidb_lite
Q86WB0	Homo_sapiens	502	0.319	160	2	122	prediction-disorder-mobidb_lite
Q9ULT8	Homo_sapiens	2610	0.155	404	11	84	prediction-disorder-mobidb_lite
P07910	Homo_sapiens	306	0.451	138	2	86	prediction-disorder-mobidb_lite
Q9Y5B9	Homo_sapiens	1047	0.15	157	2	130	prediction-disorder-mobidb_lite
O14893	Homo_sapiens	280	0.15	42	7	14	prediction-disorder-th_50
Q92904	Homo_sapiens	295	0.085	25	1	25	prediction-disorder-mobidb_lite
O43175	Homo_sapiens	533	0.011	6	4	2	prediction-disorder-th_50
P15311	Homo_sapiens	586	0.198	116	2	80	prediction-disorder-mobidb_lite
P60660	Homo_sapiens	151	0.053	8	2	6	prediction-disorder-th_50
Q9UL18	Homo_sapiens	857	0.06	51	3	21	curated-disorder-merge
Q16555	Homo_sapiens	572	0.045	26	1	26	prediction-disorder-mobidb_lite
Q9NW75	Homo_sapiens	528	0.335	177	3	84	prediction-disorder-mobidb_lite
Q9UKX7	Homo_sapiens	468	0.323	151	5	42	prediction-disorder-mobidb_lite
Q9Y608	Homo_sapiens	721	0.104	75	2	44	prediction-disorder-mobidb_lite
Q99741	Homo_sapiens	560	0.163	91	1	91	prediction-disorder-mobidb_lite
Q9NRG9	Homo_sapiens	546	0.086	47	1	47	prediction-disorder-mobidb_lite
P43246	Homo_sapiens	934	0.097	91	2	79	curated-disorder-merge
P48444	Homo_sapiens	511	0.041	21	1	21	prediction-disorder-mobidb_lite
Q16401	Homo_sapiens	504	0.016	8	2	6	prediction-disorder-th_50
Q5SRE5	Homo_sapiens	1749	0.032	56	2	29	prediction-disorder-mobidb_lite
Q69YN2	Homo_sapiens	538	0.05	27	1	27	prediction-disorder-mobidb_lite
O14981	Homo_sapiens	1849	0.027	50	2	29	prediction-disorder-mobidb_lite
Q9BXT4	Homo_sapiens	1180	0.124	146	3	66	prediction-disorder-mobidb_lite
Q96SB4	Homo_sapiens	655	0.278	182	3	104	prediction-disorder-mobidb_lite
Q9NVS2	Homo_sapiens	196	0.224	44	4	23	prediction-disorder-th_50
P08238	Homo_sapiens	724	0.108	78	2	49	prediction-disorder-mobidb_lite
Q99459	Homo_sapiens	802	0.13	104	3	36	prediction-disorder-mobidb_lite
Q14573	Homo_sapiens	2671	0.035	93	3	40	prediction-disorder-mobidb_lite
P15924	Homo_sapiens	2871	0.022	62	1	62	prediction-disorder-mobidb_lite
P31942	Homo_sapiens	346	0.171	59	9	16	prediction-disorder-th_50
Q7Z2K6	Homo_sapiens	904	0.072	65	1	65	prediction-disorder-mobidb_lite
Q9NP72	Homo_sapiens	206	0.087	18	7	6	prediction-disorder-th_50
O15047	Homo_sapiens	1707	0.559	955	9	361	prediction-disorder-mobidb_lite
Q14011	Homo_sapiens	172	0.605	104	1	104	prediction-disorder-mobidb_lite
P52272	Homo_sapiens	730	0.085	62	1	62	prediction-disorder-mobidb_lite
P19388	Homo_sapiens	210	0.1	21	2	16	prediction-disorder-th_50
O00411	Homo_sapiens	1230	0.064	79	3	38	prediction-disorder-mobidb_lite
O75293	Homo_sapiens	160	0.056	9	4	4	prediction-disorder-th_50
Q8IZ69	Homo_sapiens	625	0.144	90	3	37	prediction-disorder-mobidb_lite
P43487	Homo_sapiens	201	0.368	74	2	39	prediction-disorder-mobidb_lite
Q96RN5	Homo_sapiens	788	0.297	234	3	119	prediction-disorder-mobidb_lite
P46109	Homo_sapiens	303	0.168	51	1	51	prediction-disorder-mobidb_lite
Q15459	Homo_sapiens	793	0.333	264	5	111	prediction-disorder-mobidb_lite
Q69YQ0	Homo_sapiens	1117	0.285	318	4	176	prediction-disorder-mobidb_lite
P62318	Homo_sapiens	126	0.357	45	1	45	curated-disorder-merge
O00541	Homo_sapiens	588	0.192	113	3	68	prediction-disorder-mobidb_lite
P28482	Homo_sapiens	360	0.083	30	2	15	curated-disorder-merge
O95985	Homo_sapiens	862	0.039	34	1	34	prediction-disorder-mobidb_lite
Q96DF8	Homo_sapiens	476	0.309	147	3	58	prediction-disorder-mobidb_lite
P09382	Homo_sapiens	135	0.03	4	2	3	prediction-disorder-th_50
Q9HBE1	Homo_sapiens	687	0.151	104	3	55	prediction-disorder-mobidb_lite
Q9UBB9	Homo_sapiens	837	0.177	148	4	58	prediction-disorder-mobidb_lite
Q9Y262	Homo_sapiens	564	0.053	30	5	10	prediction-disorder-th_50
P55769	Homo_sapiens	128	0.062	8	1	8	prediction-disorder-th_50
Q8N3F8	Homo_sapiens	863	0.569	491	2	447	prediction-disorder-mobidb_lite
P61218	Homo_sapiens	127	0.417	53	1	53	prediction-disorder-mobidb_lite
Q9UH03	Homo_sapiens	358	0.084	30	1	30	prediction-disorder-mobidb_lite
Q92841	Homo_sapiens	729	0.329	240	3	96	prediction-disorder-mobidb_lite
Q9UGU0	Homo_sapiens	1960	0.663	1299	12	287	prediction-disorder-mobidb_lite
Q9Y3I0	Homo_sapiens	505	0.016	8	2	6	prediction-disorder-th_50
O00178	Homo_sapiens	669	0.193	129	2	97	prediction-disorder-mobidb_lite
Q9BY77	Homo_sapiens	421	0.057	24	1	24	prediction-disorder-mobidb_lite
O95755	Homo_sapiens	267	0.094	25	1	25	prediction-disorder-mobidb_lite
O95248	Homo_sapiens	1868	0.104	195	5	51	prediction-disorder-mobidb_lite
P00387	Homo_sapiens	301	0.02	6	1	6	prediction-disorder-th_50
Q10567	Homo_sapiens	949	0.044	42	1	42	prediction-disorder-mobidb_lite
Q8IVS2	Homo_sapiens	390	0.056	22	6	10	prediction-disorder-th_50
Q13769	Homo_sapiens	683	0.114	78	2	42	prediction-disorder-mobidb_lite
P33992	Homo_sapiens	734	0.079	58	8	17	prediction-disorder-th_50
Q6NTF7	Homo_sapiens	200	0.02	4	2	3	prediction-disorder-th_50
Q14166	Homo_sapiens	644	0.039	25	1	25	prediction-disorder-mobidb_lite
P39023	Homo_sapiens	403	0.092	37	1	37	prediction-disorder-mobidb_lite
Q9UDW3	Homo_sapiens	170	0.124	21	1	21	prediction-disorder-mobidb_lite
O43251	Homo_sapiens	390	0.326	127	1	127	prediction-disorder-mobidb_lite
Q9H1I8	Homo_sapiens	757	0.172	130	2	71	prediction-disorder-mobidb_lite
P35579	Homo_sapiens	1960	0.065	127	3	84	prediction-disorder-mobidb_lite
O15371	Homo_sapiens	548	0.047	26	1	26	prediction-disorder-mobidb_lite
Q9UPQ9	Homo_sapiens	1833	0.612	1122	9	680	prediction-disorder-mobidb_lite
P46060	Homo_sapiens	587	0.126	74	1	74	prediction-disorder-mobidb_lite
Q9UGR2	Homo_sapiens	977	0.04	39	1	39	prediction-disorder-mobidb_lite
Q7RTV0	Homo_sapiens	110	0.109	12	2	6	prediction-disorder-th_50
Q99798	Homo_sapiens	780	0.042	33	1	33	prediction-disorder-mobidb_lite
Q9Y535	Homo_sapiens	204	0.108	22	1	22	prediction-disorder-mobidb_lite
O75648	Homo_sapiens	421	0.064	27	1	27	prediction-disorder-mobidb_lite
O15037	Homo_sapiens	678	0.192	130	3	61	prediction-disorder-mobidb_lite
Q00688	Homo_sapiens	224	0.103	23	1	23	prediction-disorder-mobidb_lite
Q86U06	Homo_sapiens	439	0.335	147	1	147	prediction-disorder-mobidb_lite
O14744	Homo_sapiens	637	0.019	12	1	12	curated-disorder-merge
P06737	Homo_sapiens	847	0.024	20	2	10	prediction-disorder-th_50
P62333	Homo_sapiens	389	0.049	19	3	11	prediction-disorder-th_50
Q13686	Homo_sapiens	389	0.082	32	7	10	prediction-disorder-th_50
Q13573	Homo_sapiens	536	0.399	214	4	76	prediction-disorder-mobidb_lite
Q6ZU80	Homo_sapiens	1094	0.13	142	5	32	prediction-disorder-mobidb_lite
P84090	Homo_sapiens	104	0.135	14	3	7	prediction-disorder-th_50
Q13243	Homo_sapiens	272	0.485	132	2	99	prediction-disorder-mobidb_lite
P55010	Homo_sapiens	431	0.172	74	1	74	prediction-disorder-mobidb_lite
Q9UPY3	Homo_sapiens	1922	0.013	25	1	25	prediction-disorder-mobidb_lite
P11586	Homo_sapiens	935	0.015	14	5	5	prediction-disorder-th_50
Q6PJT7	Homo_sapiens	736	0.194	143	3	69	prediction-disorder-mobidb_lite
Q9Y4R8	Homo_sapiens	837	0.065	54	2	29	prediction-disorder-mobidb_lite
P62191	Homo_sapiens	440	0.159	70	2	49	prediction-disorder-mobidb_lite
O75582	Homo_sapiens	802	0.106	85	2	62	prediction-disorder-mobidb_lite
Q9UKV3	Homo_sapiens	1341	0.754	1011	6	318	prediction-disorder-mobidb_lite
P27695	Homo_sapiens	318	0.189	60	1	60	prediction-disorder-mobidb_lite
Q86U42	Homo_sapiens	306	0.376	115	1	115	prediction-disorder-mobidb_lite
P61011	Homo_sapiens	504	0.046	23	7	5	prediction-disorder-th_50
Q9HCK8	Homo_sapiens	2581	0.244	631	9	154	prediction-disorder-mobidb_lite
Q15436	Homo_sapiens	765	0.041	31	7	15	prediction-disorder-th_50
Q9H307	Homo_sapiens	717	0.743	533	2	439	prediction-disorder-mobidb_lite
P11216	Homo_sapiens	843	0.032	27	3	13	prediction-disorder-th_50
Q9ULU4	Homo_sapiens	1186	0.487	577	4	303	prediction-disorder-mobidb_lite
Q4VXU2	Homo_sapiens	614	0.046	28	1	28	prediction-disorder-mobidb_lite
Q9UJQ4	Homo_sapiens	1053	0.271	285	7	64	prediction-disorder-mobidb_lite
Q9H2P0	Homo_sapiens	1102	0.319	352	4	180	prediction-disorder-mobidb_lite
Q05048	Homo_sapiens	431	0.023	10	2	5	prediction-disorder-th_50
O94906	Homo_sapiens	941	0.084	79	1	79	prediction-disorder-mobidb_lite
Q9H4K7	Homo_sapiens	406	0.074	30	6	9	prediction-disorder-th_50
O14818	Homo_sapiens	248	0.081	20	2	16	prediction-disorder-th_50
Q9BTC0	Homo_sapiens	2240	0.682	1528	10	724	prediction-disorder-mobidb_lite
Q05639	Homo_sapiens	463	0.043	20	1	20	prediction-disorder-mobidb_lite
Q13795	Homo_sapiens	201	0.05	10	2	9	prediction-disorder-th_50
Q5TEU4	Homo_sapiens	345	0.099	34	4	15	prediction-disorder-th_50
Q15437	Homo_sapiens	767	0.033	25	7	12	prediction-disorder-th_50
Q9BZJ0	Homo_sapiens	848	0.057	48	2	26	prediction-disorder-mobidb_lite
Q9Y3Z3	Homo_sapiens	626	0.058	36	1	36	prediction-disorder-mobidb_lite
O00567	Homo_sapiens	594	0.231	137	1	137	prediction-disorder-mobidb_lite
Q15691	Homo_sapiens	268	0.157	42	1	42	prediction-disorder-mobidb_lite
P23526	Homo_sapiens	432	0.028	12	2	7	prediction-disorder-th_50
Q9H4H8	Homo_sapiens	585	0.188	110	2	63	prediction-disorder-mobidb_lite
Q9H5Z1	Homo_sapiens	703	0.067	47	6	19	prediction-disorder-th_50
Q9BZC1	Homo_sapiens	486	0.105	51	2	29	prediction-disorder-mobidb_lite
Q8N0V3	Homo_sapiens	343	0.262	90	2	69	prediction-disorder-mobidb_lite
P54578	Homo_sapiens	494	0.022	11	1	11	curated-disorder-merge
Q9P0L0	Homo_sapiens	249	0.133	33	1	33	prediction-disorder-mobidb_lite
Q8N3J2	Homo_sapiens	472	0.044	21	5	10	prediction-disorder-th_50
A6NHR9	Homo_sapiens	2005	0.011	23	1	23	prediction-disorder-mobidb_lite
O43148	Homo_sapiens	476	0.307	146	1	146	prediction-disorder-mobidb_lite
Q86YT6	Homo_sapiens	1006	0.072	72	17	10	prediction-disorder-th_50
O14730	Homo_sapiens	519	0.075	39	1	39	prediction-disorder-mobidb_lite
P33240	Homo_sapiens	577	0.231	133	3	70	prediction-disorder-mobidb_lite
P09884	Homo_sapiens	1462	0.054	79	3	33	prediction-disorder-mobidb_lite
Q8N5F7	Homo_sapiens	415	0.749	311	1	311	prediction-disorder-mobidb_lite
Q9NPJ8	Homo_sapiens	142	0.063	9	2	5	prediction-disorder-th_50
A0A3B3IRV3	Homo_sapiens	181	0.055	10	1	10	prediction-disorder-th_50
Q8N3U4	Homo_sapiens	1231	0.077	95	2	75	prediction-disorder-mobidb_lite
P13797	Homo_sapiens	630	0.032	20	1	20	curated-disorder-merge
P28370	Homo_sapiens	1054	0.105	111	3	58	prediction-disorder-mobidb_lite
Q5HYM0	Homo_sapiens	836	0.11	92	1	92	prediction-disorder-mobidb_lite
Q16576	Homo_sapiens	425	0.092	39	2	22	curated-disorder-merge
Q06787	Homo_sapiens	632	0.34	215	2	190	prediction-disorder-mobidb_lite
Q9UHG2	Homo_sapiens	260	0.092	24	1	24	prediction-disorder-mobidb_lite
P50402	Homo_sapiens	254	0.559	142	1	142	curated-disorder-merge
P00558	Homo_sapiens	417	0.048	20	3	10	prediction-disorder-th_50
Q15075	Homo_sapiens	1411	0.04	56	2	29	prediction-disorder-mobidb_lite
O43719	Homo_sapiens	755	0.601	454	4	323	prediction-disorder-mobidb_lite
Q9Y237	Homo_sapiens	131	0.298	39	1	39	prediction-disorder-mobidb_lite
Q9UNF1	Homo_sapiens	606	0.432	262	3	204	prediction-disorder-mobidb_lite
P98179	Homo_sapiens	157	0.49	77	1	77	prediction-disorder-mobidb_lite
Q9Y2H6	Homo_sapiens	1198	0.052	62	1	62	prediction-disorder-mobidb_lite
Q9UKK3	Homo_sapiens	1724	0.042	72	2	45	prediction-disorder-mobidb_lite
Q92665	Homo_sapiens	395	0.127	50	2	28	prediction-disorder-mobidb_lite
O00505	Homo_sapiens	521	0.056	29	1	29	prediction-disorder-mobidb_lite
Q9UL03	Homo_sapiens	887	0.161	143	19	22	prediction-disorder-th_50
P31146	Homo_sapiens	461	0.065	30	1	30	prediction-disorder-mobidb_lite
P61970	Homo_sapiens	127	0.071	9	3	5	prediction-disorder-th_50
Q8N1F7	Homo_sapiens	819	0.065	53	8	21	prediction-disorder-th_50
O75113	Homo_sapiens	896	0.077	69	3	28	prediction-disorder-mobidb_lite
Q2M1K9	Homo_sapiens	1284	0.164	211	5	64	prediction-disorder-mobidb_lite
P49711	Homo_sapiens	727	0.228	166	3	105	prediction-disorder-mobidb_lite
Q96AP0	Homo_sapiens	458	0.271	124	2	104	prediction-disorder-mobidb_lite
P19387	Homo_sapiens	275	0.087	24	1	24	prediction-disorder-mobidb_lite
Q9BQ65	Homo_sapiens	265	0.272	72	1	72	prediction-disorder-mobidb_lite
P51665	Homo_sapiens	324	0.136	44	1	44	prediction-disorder-mobidb_lite
Q9H6T0	Homo_sapiens	727	0.03	22	1	22	prediction-disorder-mobidb_lite
P29372	Homo_sapiens	298	0.218	65	1	65	prediction-disorder-mobidb_lite
P49815	Homo_sapiens	1807	0.17	308	7	125	prediction-disorder-mobidb_lite
P33527	Homo_sapiens	1531	0.065	100	13	30	prediction-disorder-th_50
Q2M296	Homo_sapiens	383	0.138	53	1	53	prediction-disorder-mobidb_lite
Q6PII5	Homo_sapiens	290	0.048	14	6	3	prediction-disorder-th_50
O75808	Homo_sapiens	1086	0.153	166	4	82	prediction-disorder-mobidb_lite
Q92508	Homo_sapiens	2521	0.112	282	5	111	prediction-disorder-mobidb_lite
P15170	Homo_sapiens	499	0.138	69	1	69	prediction-disorder-mobidb_lite
Q5JPH6	Homo_sapiens	523	0.092	48	5	21	prediction-disorder-th_50
Q9NSC2	Homo_sapiens	1324	0.289	382	9	70	prediction-disorder-mobidb_lite
P56270	Homo_sapiens	477	0.096	46	2	26	prediction-disorder-mobidb_lite
Q9H7Z6	Homo_sapiens	458	0.116	53	1	53	prediction-disorder-mobidb_lite
Q15155	Homo_sapiens	1222	0.02	25	1	25	prediction-disorder-mobidb_lite
O75150	Homo_sapiens	1001	0.198	198	3	135	prediction-disorder-mobidb_lite
Q1ED39	Homo_sapiens	458	0.657	301	3	260	prediction-disorder-mobidb_lite
Q15751	Homo_sapiens	4861	0.105	509	12	92	prediction-disorder-mobidb_lite
Q15650	Homo_sapiens	581	0.038	22	1	22	prediction-disorder-mobidb_lite
P62491	Homo_sapiens	216	0.134	29	1	29	prediction-disorder-mobidb_lite
Q9BWH6	Homo_sapiens	1393	0.086	120	4	36	prediction-disorder-mobidb_lite
Q9H223	Homo_sapiens	541	0.118	64	5	20	prediction-disorder-th_50
Q9H2Y7	Homo_sapiens	1883	0.398	750	12	232	prediction-disorder-mobidb_lite
Q07157	Homo_sapiens	1748	0.538	940	4	493	prediction-disorder-mobidb_lite
Q9NVM6	Homo_sapiens	304	0.22	67	1	67	prediction-disorder-mobidb_lite
O75822	Homo_sapiens	258	0.504	130	2	108	prediction-disorder-mobidb_lite
Q9P2K5	Homo_sapiens	600	0.168	101	1	101	prediction-disorder-mobidb_lite
Q9NV88	Homo_sapiens	658	0.041	27	1	27	prediction-disorder-mobidb_lite
Q8NE79	Homo_sapiens	360	0.122	44	1	44	prediction-disorder-mobidb_lite
P61019	Homo_sapiens	212	0.099	21	2	19	prediction-disorder-th_50
P60228	Homo_sapiens	445	0.052	23	4	9	prediction-disorder-th_50
Q6NXG1	Homo_sapiens	681	0.006	4	1	4	prediction-disorder-th_50
O95071	Homo_sapiens	2799	0.244	684	12	226	prediction-disorder-mobidb_lite
P29692	Homo_sapiens	281	0.196	55	1	55	prediction-disorder-mobidb_lite
Q8IV48	Homo_sapiens	349	0.138	48	1	48	prediction-disorder-mobidb_lite
Q9Y3T6	Homo_sapiens	440	0.216	95	2	72	prediction-disorder-mobidb_lite
P00390	Homo_sapiens	522	0.075	39	7	13	prediction-disorder-th_50
O00124	Homo_sapiens	270	0.156	42	1	42	prediction-disorder-mobidb_lite
P33991	Homo_sapiens	863	0.111	96	2	60	prediction-disorder-mobidb_lite
O15554	Homo_sapiens	427	0.047	20	3	14	prediction-disorder-th_50
P14866	Homo_sapiens	589	0.331	195	2	100	prediction-disorder-mobidb_lite
Q9NP81	Homo_sapiens	518	0.041	21	1	21	prediction-disorder-mobidb_lite
P08621	Homo_sapiens	437	0.648	283	2	251	prediction-disorder-mobidb_lite
Q8N2M8	Homo_sapiens	674	0.711	479	2	417	prediction-disorder-mobidb_lite
Q9NWS0	Homo_sapiens	290	0.193	56	7	20	prediction-disorder-th_50
Q8WUF5	Homo_sapiens	828	0.632	523	4	223	prediction-disorder-mobidb_lite
P18074	Homo_sapiens	760	0.012	9	4	3	prediction-disorder-th_50
O75792	Homo_sapiens	299	0.211	63	3	27	curated-disorder-merge
Q15428	Homo_sapiens	464	0.593	275	2	248	prediction-disorder-mobidb_lite
Q9NXH9	Homo_sapiens	659	0.131	86	2	44	prediction-disorder-mobidb_lite
Q9UNW9	Homo_sapiens	492	0.118	58	7	19	prediction-disorder-th_50
Q13487	Homo_sapiens	334	0.299	100	2	64	prediction-disorder-mobidb_lite
Q9UPN7	Homo_sapiens	881	0.296	261	1	261	prediction-disorder-mobidb_lite
O43823	Homo_sapiens	692	0.436	302	5	114	prediction-disorder-mobidb_lite
P31944	Homo_sapiens	242	0.12	29	5	12	prediction-disorder-th_50
O95707	Homo_sapiens	220	0.236	52	6	15	prediction-disorder-th_50
P62249	Homo_sapiens	146	0.178	26	2	18	prediction-disorder-th_50
P22087	Homo_sapiens	321	0.271	87	1	87	prediction-disorder-mobidb_lite
P06744	Homo_sapiens	558	0.077	43	6	15	prediction-disorder-th_50
P36954	Homo_sapiens	125	0.168	21	3	9	prediction-disorder-th_50
Q9UPR6	Homo_sapiens	939	0.399	375	8	72	prediction-disorder-mobidb_lite
Q8WUQ7	Homo_sapiens	758	0.299	227	3	140	prediction-disorder-mobidb_lite
Q9Y3X0	Homo_sapiens	531	0.927	492	1	492	prediction-disorder-mobidb_lite
Q9BUJ2	Homo_sapiens	856	0.453	388	2	217	prediction-disorder-mobidb_lite
O60664	Homo_sapiens	434	0.051	22	1	22	prediction-disorder-mobidb_lite
Q9BYD3	Homo_sapiens	311	0.103	32	1	32	prediction-disorder-mobidb_lite
P39019	Homo_sapiens	145	0.345	50	3	31	prediction-disorder-th_50
Q9NZM5	Homo_sapiens	478	0.195	93	2	51	prediction-disorder-mobidb_lite
Q16543	Homo_sapiens	378	0.146	55	2	32	prediction-disorder-mobidb_lite
Q9BQ67	Homo_sapiens	446	0.157	70	2	38	prediction-disorder-mobidb_lite
Q96JA1	Homo_sapiens	1093	0.063	69	2	38	prediction-disorder-mobidb_lite
Q2M2I3	Homo_sapiens	478	0.31	148	3	78	prediction-disorder-mobidb_lite
