accession	gene_name	species	protein_type	old_family	length	pfam_ids
P51954	Nek1	mouse	Kinase	Other	1203	PF00069:Pkinase
P52332	Jak1	mouse	Kinase	Other	1153	PF18379:FERM_F1;PF18377:FERM_F2;PF17887:Jak1_Phl;PF07714:PK_Tyr_Ser-Thr;PF21990:SH2_1
P52480	Pkm	mouse	Kinase	Other	531	PF00224:PK;PF02887:PK_C
P52792	Gck	mouse	Kinase	Other	465	PF00349:Hexokinase_1;PF03727:Hexokinase_2
P53349	Map3k1	mouse	Kinase	MAPK	1493	PF21040:CEP104-like_TOG;PF00069:Pkinase;PF04434:SWIM
P53351	Plk2	mouse	Kinase	PLK	682	PF00069:Pkinase;PF00659:POLO_box
P53657	Pklr	mouse	Kinase	Other	574	PF00224:PK;PF02887:PK_C
P53668	Limk1	mouse	Kinase	Other	647	PF00412:LIM;PF00595:PDZ;PF07714:PK_Tyr_Ser-Thr
P54265	Dmpk	mouse	Kinase	Other	631	PF08826:DMPK_coil;PF00069:Pkinase
P54754	Ephb3	mouse	Kinase	Other	993	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
P54761	Ephb4	mouse	Kinase	Other	987	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
P54763	Ephb2	mouse	Kinase	Other	986	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
P55144	Tyro3	mouse	Kinase	Other	880	PF00041:fn3;PF07679:I-set;PF07714:PK_Tyr_Ser-Thr
P55264	Adk	mouse	Kinase	Other	361	PF00294:PfkB
P58750	Pim3	mouse	Kinase	Other	326	PF00069:Pkinase
P58801	Ripk2	mouse	Kinase	Other	539	PF00619:CARD;PF07714:PK_Tyr_Ser-Thr
P63085	Mapk1	mouse	Kinase	MAPK	358	PF00069:Pkinase
P63318	Prkcg	mouse	Kinase	PKC	697	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P68181	Prkacb	mouse	Kinase	PKA	351	PF00069:Pkinase
P70181	Pip5k1b	mouse	Kinase	Other	539	PF01504:PIP5K
P70182	Pip5k1a	mouse	Kinase	Other	546	PF01504:PIP5K
P70218	Map4k1	mouse	Kinase	MAPK	827	PF00780:CNH;PF00069:Pkinase
P70265	Pfkfb2	mouse	Kinase	Other	519	PF01591:6PF2K;PF00300:His_Phos_1
P70266	Pfkfb1	mouse	Kinase	Other	471	PF01591:6PF2K;PF00300:His_Phos_1
P70335	Rock1	mouse	Kinase	Other	1354	PF25346:PH_MRCK;PF00069:Pkinase;PF08912:Rho_Binding
P70336	Rock2	mouse	Kinase	Other	1388	PF25346:PH_MRCK;PF00069:Pkinase;PF08912:Rho_Binding
P70451	Fer	mouse	Kinase	Other	823	PF00611:FCH;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
P83510	Tnik	mouse	Kinase	Other	1323	PF00780:CNH;PF00069:Pkinase
P83741	Wnk1	mouse	Kinase	Other	2377	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
P97313	Prkdc	mouse	Kinase	Other	4128	PF20500:DNA-PKcs_N;PF20502:DNAPKcs_CC1-2;PF08163:DNAPKcs_CC3;PF19704:DNAPKcs_CC5;PF02259:FAT;PF02260:FATC;PF00454:PI3_PI4_kinase
P97328	Khk	mouse	Kinase	Other	298	PF00294:PfkB
P97377	Cdk2	mouse	Kinase	CDK	346	PF00069:Pkinase
P97477	Aurka	mouse	Kinase	Aurora	395	PF00069:Pkinase
P97793	Alk	mouse	Kinase	Other	1621	PF12810:ALK_LTK_GRD;PF00629:MAM;PF07714:PK_Tyr_Ser-Thr
P97820	Map4k4	mouse	Kinase	MAPK	1233	PF00780:CNH;PF00069:Pkinase
P97930	Dtymk	mouse	Kinase	Other	212	PF02223:Thymidylate_kin
Q00342	Flt3	mouse	Kinase	Other	1000	PF00047:ig;PF07714:PK_Tyr_Ser-Thr
Q00993	Axl	mouse	Kinase	Other	888	PF00041:fn3;PF13895:Ig_2;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q01279	Egfr	mouse	Kinase	Other	1210	PF00757:Furin-like;PF14843:GF_recep_IV;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain;PF21314:TM_ErbB1
Q01887	Ryk	mouse	Kinase	Other	594	PF07714:PK_Tyr_Ser-Thr;PF02019:WIF
Q02111	Prkcq	mouse	Kinase	PKC	707	PF00130:C1_1;PF21494:PKC_C2;PF00069:Pkinase;PF00433:Pkinase_C
Q02858	Tek	mouse	Kinase	Other	1122	PF00041:fn3;PF10430:Ig_Tie2_1;PF07714:PK_Tyr_Ser-Thr
Q02956	Prkcz	mouse	Kinase	PKC	592	PF00130:C1_1;PF00564:PB1;PF00069:Pkinase;PF00433:Pkinase_C
Q03137	Epha4	mouse	Kinase	Other	986	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF07647:SAM_2
Q03141	Mark3	mouse	Kinase	Other	753	PF02149:KA1;PF00069:Pkinase;PF00627:UBA
Q03142	Fgfr4	mouse	Kinase	Other	799	PF07679:I-set;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q03145	Epha2	mouse	Kinase	Other	977	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q03146	Ddr1	mouse	Kinase	Other	911	PF21114:DDR1-2_DS-like;PF00754:F5_F8_type_C;PF07714:PK_Tyr_Ser-Thr
Q03526	Itk	mouse	Kinase	Other	625	PF00779:BTK;PF00169:PH;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q04447	Ckb	mouse	Kinase	Other	381	PF00217:ATP-gua_Ptrans;PF02807:ATP-gua_PtransN
Q04735	Cdk16	mouse	Kinase	CDK	496	PF00069:Pkinase
Q04736	Yes1	mouse	Kinase	Other	541	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q05512	Mark2	mouse	Kinase	Other	776	PF02149:KA1;PF00069:Pkinase;PF00627:UBA
Q06806	Tie1	mouse	Kinase	Other	1134	PF00041:fn3;PF00047:ig;PF07714:PK_Tyr_Ser-Thr
Q07174	Map3k8	mouse	Kinase	MAPK	467	PF00069:Pkinase
Q07832	Plk1	mouse	Kinase	PLK	603	PF00069:Pkinase;PF00659:POLO_box
Q0KL02	Trio	mouse	Kinase	Other	3102	PF13716:CRAL_TRIO_2;PF07679:I-set;PF00069:Pkinase;PF00621:RhoGEF;PF16609:SH3-RhoG_link;PF00018:SH3_1;PF23587:SH3_KALRN;PF22697:SOS1_NGEF_PH;PF00435:Spectrin;PF23323:Spectrin_6
Q14AX6	Cdk12	mouse	Kinase	CDK	1484	PF00069:Pkinase
Q1EG27	Myo3b	mouse	Kinase	Other	1305	PF00612:IQ;PF00063:Myosin_head;PF00069:Pkinase
Q1HKZ5	Map3k13	mouse	Kinase	MAPK	959	PF07714:PK_Tyr_Ser-Thr
Q2NL51	Gsk3a	mouse	Kinase	GSK	490	PF00069:Pkinase
Q2TBE6	Pi4k2a	mouse	Kinase	Other	479	PF00454:PI3_PI4_kinase
Q3TUA9	Pomk	mouse	Kinase	Other	349	PF07714:PK_Tyr_Ser-Thr
Q3TYD6	Lmtk2	mouse	Kinase	Other	1471	PF07714:PK_Tyr_Ser-Thr
Q3U3Q1	Ulk3	mouse	Kinase	Other	472	PF04212:MIT;PF00069:Pkinase
Q3U5Q7	Cmpk2	mouse	Kinase	Other	447	PF02223:Thymidylate_kin
Q3UFB7	Ntrk1	mouse	Kinase	Other	799	PF13855:LRR_8;PF16920:LRRCT_2;PF07714:PK_Tyr_Ser-Thr
Q3UH66	Wnk2	mouse	Kinase	Other	2149	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q3UHC2	Lrrk1	mouse	Kinase	Other	2014	PF12796:Ank_2;PF16095:COR-A;PF25497:COR-B;PF00560:LRR_1;PF13855:LRR_8;PF00069:Pkinase;PF08477:Roc
Q3UHJ0	Aak1	mouse	Kinase	Other	959	PF00069:Pkinase
Q3UIZ8	Mylk3	mouse	Kinase	Other	795	PF00069:Pkinase
Q3ULB5	Pak6	mouse	Kinase	Other	682	PF00786:PBD;PF00069:Pkinase
Q3UMM4	Cdk10	mouse	Kinase	CDK	360	PF00069:Pkinase
Q3UMW7	Mapkapk3	mouse	Kinase	MAPK	384	PF00069:Pkinase
Q3UTQ8	Cdkl5	mouse	Kinase	CDK	938	PF00069:Pkinase
Q3UU96	Cdc42bpa	mouse	Kinase	Other	1719	PF00130:C1_1;PF00780:CNH;PF08826:DMPK_coil;PF15796:KELK;PF25346:PH_MRCK;PF00069:Pkinase;PF00433:Pkinase_C
Q3UVC0	Ksr2	mouse	Kinase	Other	951	PF07714:PK_Tyr_Ser-Thr;PF13543:SAM_KSR1;PF20406:SAM_KSR1_N
Q3UVR3	Ttbk2	mouse	Kinase	Other	1243	PF00069:Pkinase
Q3V016	Hipk4	mouse	Kinase	Other	616	PF00069:Pkinase
Q3V129	Ulk4	mouse	Kinase	Other	1303	PF23606:HEAT_ULK4;PF00069:Pkinase
Q4JIM5	Abl2	mouse	Kinase	Other	1182	PF08919:F_actin_bind;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q5F2E8	Taok1	mouse	Kinase	Other	1001	PF00069:Pkinase
Q5GIG6	Tnni3k	mouse	Kinase	Other	834	PF00023:Ank;PF12796:Ank_2;PF07714:PK_Tyr_Ser-Thr
Q5MJS3	Fam20c	mouse	Kinase	Other	579	PF06702:Fam20C
Q5RJI4	Pkdcc	mouse	Kinase	Other	492	PF12260:PIP49_C
Q5RJI5	Brsk1	mouse	Kinase	Other	778	PF21122:KA1_BRSK;PF00069:Pkinase;PF21115:UBA_BRSK
Q5S006	Lrrk2	mouse	Kinase	Other	2527	PF23745:ANK_LRRK2;PF23744:ARM_LRRK2;PF23748:Beta-prop_LRRK2;PF16095:COR-A;PF25497:COR-B;PF00560:LRR_1;PF13855:LRR_8;PF00069:Pkinase;PF08477:Roc
Q5U4C9	Dyrk2	mouse	Kinase	Other	599	PF00069:Pkinase
Q5XJV6	Lmtk3	mouse	Kinase	Other	1424	PF07714:PK_Tyr_Ser-Thr
Q60592	Mast2	mouse	Kinase	Other	1734	PF08926:DUF1908;PF17820:PDZ_6;PF00069:Pkinase
Q60629	Epha5	mouse	Kinase	Other	876	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q60670	Sik1	mouse	Kinase	Other	779	PF00069:Pkinase;PF23312:UBA_SIK3
Q60680	Chuk	mouse	Kinase	Other	745	PF18397:IKBKB_SDD;PF12179:IKKbetaNEMObind;PF00069:Pkinase
Q60700	Map3k12	mouse	Kinase	MAPK	888	PF07714:PK_Tyr_Ser-Thr
Q60750	Epha1	mouse	Kinase	Other	977	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q60751	Igf1r	mouse	Kinase	Other	1373	PF00757:Furin-like;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
Q60805	Mertk	mouse	Kinase	Other	994	PF00041:fn3;PF00047:ig;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q60806	Plk3	mouse	Kinase	PLK	631	PF00069:Pkinase;PF00659:POLO_box
Q60823	Akt2	mouse	Kinase	AKT	481	PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
Q60855	Ripk1	mouse	Kinase	Other	656	PF00531:Death;PF07714:PK_Tyr_Ser-Thr;PF12721:RHIM
Q60936	Coq8a	mouse	Kinase	Other	645	PF03109:ABC1
Q60967	Papss1	mouse	Kinase	Other	624	PF01583:APS_kinase;PF01747:ATP-sulfurylase;PF14306:PUA_2
Q61006	Musk	mouse	Kinase	Other	868	PF01392:Fz;PF07679:I-set;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q61036	Pak3	mouse	Kinase	Other	559	PF00786:PBD;PF00069:Pkinase
Q61083	Map3k2	mouse	Kinase	MAPK	619	PF00564:PB1;PF00069:Pkinase
Q61084	Map3k3	mouse	Kinase	MAPK	626	PF00564:PB1;PF00069:Pkinase
Q61097	Ksr1	mouse	Kinase	Other	873	PF07714:PK_Tyr_Ser-Thr;PF20406:SAM_KSR1_N
Q61136	Prp4k	mouse	Kinase	Other	1007	PF00069:Pkinase
Q61161	Map4k2	mouse	Kinase	MAPK	821	PF00780:CNH;PF00069:Pkinase
Q61194	Pik3c2a	mouse	Kinase	Other	1686	PF00168:C2;PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF00794:PI3K_rbd;PF00613:PI3Ka;PF00787:PX
Q61241	Tssk1b	mouse	Kinase	Other	365	PF00069:Pkinase
Q61271	Acvr1b	mouse	Kinase	Other	505	PF01064:Activin_recp;PF00069:Pkinase;PF08515:TGF_beta_GS
Q61288	Acvrl1	mouse	Kinase	Other	502	PF07714:PK_Tyr_Ser-Thr;PF08515:TGF_beta_GS
Q61410	Prkg2	mouse	Kinase	Other	762	PF00027:cNMP_binding;PF00069:Pkinase
Q61526	Erbb3	mouse	Kinase	Other	1339	PF00757:Furin-like;PF14843:GF_recep_IV;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
Q61532	Mapk6	mouse	Kinase	MAPK	720	PF00069:Pkinase
Q61772	Epha7	mouse	Kinase	Other	998	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q61831	Mapk10	mouse	Kinase	MAPK	464	PF00069:Pkinase
Q61846	Melk	mouse	Kinase	Other	643	PF02149:KA1;PF00069:Pkinase;PF21594:UBA_MELK
Q61851	Fgfr3	mouse	Kinase	Other	801	PF21165:FGFR3_TM;PF07679:I-set;PF00047:ig;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q62070	Pim2	mouse	Kinase	Other	370	PF00069:Pkinase
Q62074	Prkci	mouse	Kinase	PKC	595	PF00130:C1_1;PF00564:PB1;PF00069:Pkinase;PF00433:Pkinase_C
Q62101	Prkd1	mouse	Kinase	Other	918	PF00130:C1_1;PF00169:PH;PF00069:Pkinase;PF25525:Ubiquitin_PRKD1_N
Q62120	Jak2	mouse	Kinase	Other	1132	PF18379:FERM_F1;PF18377:FERM_F2;PF17887:Jak1_Phl;PF07714:PK_Tyr_Ser-Thr;PF21990:SH2_1
Q62137	Jak3	mouse	Kinase	Other	1100	PF18379:FERM_F1;PF18377:FERM_F2;PF17887:Jak1_Phl;PF07714:PK_Tyr_Ser-Thr;PF21990:SH2_1
Q62190	Mst1r	mouse	Kinase	Other	1378	PF07714:PK_Tyr_Ser-Thr;PF01403:Sema;PF01833:TIG
Q62312	Tgfbr2	mouse	Kinase	Other	567	PF08917:ecTbetaR2;PF07714:PK_Tyr_Ser-Thr
Q62371	Ddr2	mouse	Kinase	Other	854	PF21114:DDR1-2_DS-like;PF00754:F5_F8_type_C;PF07714:PK_Tyr_Ser-Thr
Q62388	Atm	mouse	Kinase	Other	3066	PF02259:FAT;PF02260:FATC;PF00454:PI3_PI4_kinase;PF11640:TAN
Q62406	Irak1	mouse	Kinase	Other	710	PF00531:Death;PF00069:Pkinase
Q62407	Speg	mouse	Kinase	Other	3262	PF07679:I-set;PF00069:Pkinase;PF16650:SPEG_u2
Q63844	Mapk3	mouse	Kinase	MAPK	380	PF00069:Pkinase
Q63932	Map2k2	mouse	Kinase	MAPK	401	PF00069:Pkinase
Q641K5	Nuak1	mouse	Kinase	Other	658	PF00069:Pkinase
Q64261	Cdk6	mouse	Kinase	CDK	326	PF00069:Pkinase
Q64434	Ptk6	mouse	Kinase	Other	451	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q64516	Gk	mouse	Kinase	Other	559	PF02782:FGGY_C;PF00370:FGGY_N
Q64520	Guk1	mouse	Kinase	Other	198	PF00625:Guanylate_kin
Q64702	Plk4	mouse	Kinase	PLK	925	PF00069:Pkinase;PF18190:Plk4_PB1;PF18409:Plk4_PB2
Q64729	Tgfbr1	mouse	Kinase	Other	503	PF01064:Activin_recp;PF00069:Pkinase;PF08515:TGF_beta_GS
Q66JT0	Wee2	mouse	Kinase	Other	555	PF00069:Pkinase
Q69Z98	Brsk2	mouse	Kinase	Other	735	PF21122:KA1_BRSK;PF00069:Pkinase;PF21115:UBA_BRSK
Q69ZA1	Cdk13	mouse	Kinase	CDK	1511	PF00069:Pkinase
Q69ZM6	Stk36	mouse	Kinase	Other	1316	PF13646:HEAT_2;PF00069:Pkinase
Q6DTY7	Pfkfb4	mouse	Kinase	Other	469	PF01591:6PF2K;PF00300:His_Phos_1
Q6NS52	Dgkb	mouse	Kinase	Other	802	PF00130:C1_1;PF14513:DAG_kinase_N;PF00609:DAGK_acc;PF00781:DAGK_cat;PF13499:EF-hand_7
Q6P4S6	Sik3	mouse	Kinase	Other	1369	PF00069:Pkinase;PF23312:UBA_SIK3
Q6P5E8	Dgkq	mouse	Kinase	Other	934	PF00130:C1_1;PF00609:DAGK_acc;PF00781:DAGK_cat;PF00788:RA;PF24099:RBD_DGKtheta
Q6P5G0	Mapk4	mouse	Kinase	MAPK	583	PF00069:Pkinase
Q6P9R2	Oxsr1	mouse	Kinase	Other	527	PF12202:OSR1_C;PF00069:Pkinase
Q6PAJ1	Bcr	mouse	Kinase	Other	1270	PF09036:Bcr-Abl_Oligo;PF00168:C2;PF19057:PH_19;PF00620:RhoGAP;PF00621:RhoGEF
Q6PCN3	Ttbk1	mouse	Kinase	Other	1308	PF00069:Pkinase
Q6PD10	Ip6k1	mouse	Kinase	Other	433	PF03770:IPK
Q6PDN3	Mylk	mouse	Kinase	Other	1941	PF16620:23ISL;PF00041:fn3;PF07679:I-set;PF00069:Pkinase
Q6PF93	Pik3c3	mouse	Kinase	Other	887	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF00613:PI3Ka
Q6PGN3	Dclk2	mouse	Kinase	Other	756	PF03607:DCX;PF00069:Pkinase
Q6PHZ2	Camk2d	mouse	Kinase	Other	499	PF08332:CaMKII_AD;PF00069:Pkinase
Q6U7H8	Pip5kl1	mouse	Kinase	Other	395	PF01504:PIP5K
Q6VNS1	Ntrk3	mouse	Kinase	Other	825	PF07679:I-set;PF00047:ig;PF13855:LRR_8;PF16920:LRRCT_2;PF01462:LRRNT;PF07714:PK_Tyr_Ser-Thr
Q6XUX1	Dstyk	mouse	Kinase	Other	927	PF00069:Pkinase
Q6ZQ29	Taok2	mouse	Kinase	Other	1240	PF00069:Pkinase
Q6ZQB6	Ppip5k2	mouse	Kinase	Other	1129	PF00328:His_Phos_2;PF18086:PPIP5K2_N
Q78DX7	Ros1	mouse	Kinase	Other	2340	PF00041:fn3;PF07714:PK_Tyr_Ser-Thr
Q7M753	Pank2	mouse	Kinase	Other	456	PF03630:Fumble
Q7TNL3	Stk40	mouse	Kinase	Other	435	PF00069:Pkinase
Q7TPS0	Rps6ka6	mouse	Kinase	Other	764	PF00069:Pkinase;PF00433:Pkinase_C
Q7TSE6	Stk38l	mouse	Kinase	Other	464	PF00069:Pkinase;PF00433:Pkinase_C
Q7TSJ6	Lats2	mouse	Kinase	Other	1042	PF00069:Pkinase;PF00433:Pkinase_C
Q7TT16	Ipmk	mouse	Kinase	Other	396	PF03770:IPK
Q7TT50	Cdc42bpb	mouse	Kinase	Other	1713	PF00130:C1_1;PF00780:CNH;PF08826:DMPK_coil;PF15796:KELK;PF25346:PH_MRCK;PF00069:Pkinase
Q80UE6	Wnk4	mouse	Kinase	Other	1222	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q80UP3	Dgkz	mouse	Kinase	Other	929	PF12796:Ank_2;PF00609:DAGK_acc;PF00781:DAGK_cat;PF23578:DGKI
Q80UW5	Cdc42bpg	mouse	Kinase	Other	1551	PF00130:C1_1;PF00780:CNH;PF08826:DMPK_coil;PF25346:PH_MRCK;PF00069:Pkinase;PF00433:Pkinase_C
Q80V72	Ip6k2	mouse	Kinase	Other	448	PF03770:IPK
Q80X41	Vrk1	mouse	Kinase	Other	440	PF00069:Pkinase
Q80XI4	Pip4k2b	mouse	Kinase	Other	416	PF01504:PIP5K
Q80XI6	Map3k11	mouse	Kinase	MAPK	850	PF07714:PK_Tyr_Ser-Thr;PF14604:SH3_9
Q80XP9	Wnk3	mouse	Kinase	Other	1757	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q80Y86	Mapk15	mouse	Kinase	MAPK	549	PF00069:Pkinase
Q80YE4	Aatk	mouse	Kinase	Other	1365	PF07714:PK_Tyr_Ser-Thr
Q80YE7	Dapk1	mouse	Kinase	Other	1442	PF00023:Ank;PF12796:Ank_2;PF13637:Ank_4;PF00531:Death;PF00069:Pkinase
Q80YP0	Cdk3	mouse	Kinase	CDK	304	PF00069:Pkinase
Q8BFP9	Pdk1	mouse	Kinase	Other	434	PF10436:BCDHK_Adom3;PF02518:HATPase_c
Q8BG48	Stk17b	mouse	Kinase	Other	372	PF00069:Pkinase
Q8BI55	Dyrk4	mouse	Kinase	Other	632	PF00069:Pkinase
Q8BK63	Csnk1a1	mouse	Kinase	Other	337	PF00069:Pkinase
Q8BKC8	Pi4kb	mouse	Kinase	Other	816	PF00454:PI3_PI4_kinase;PF21245:PI4KB-PIK1_PIK
Q8BKX6	Smg1	mouse	Kinase	Other	3658	PF02260:FATC;PF00454:PI3_PI4_kinase;PF15785:SMG1;PF17229:SMG1_N
Q8BLF2	Cdkl3	mouse	Kinase	CDK	595	PF00069:Pkinase
Q8BLK9	Rps6kc1	mouse	Kinase	Other	1056	PF04212:MIT;PF00069:Pkinase;PF00787:PX
Q8BN21	Vrk2	mouse	Kinase	Other	503	PF00069:Pkinase
Q8BSK8	Rps6kb1	mouse	Kinase	Other	525	PF00069:Pkinase;PF00433:Pkinase_C
Q8BTI9	Pik3cb	mouse	Kinase	Other	1064	PF00454:PI3_PI4_kinase;PF00792:PI3K_C2;PF02192:PI3K_p85B;PF00794:PI3K_rbd;PF00613:PI3Ka
Q8BTW9	Pak4	mouse	Kinase	Other	593	PF00786:PBD;PF00069:Pkinase
Q8BVP5	Csnk1g2	mouse	Kinase	Other	415	PF12605:CK1gamma_C;PF00069:Pkinase
Q8BW96	Camk1d	mouse	Kinase	Other	385	PF00069:Pkinase
Q8BWQ5	Dclk3	mouse	Kinase	Other	790	PF03607:DCX;PF00069:Pkinase
Q8BX05	Gk5	mouse	Kinase	Other	534	PF02782:FGGY_C;PF00370:FGGY_N
Q8BYC6	Taok3	mouse	Kinase	Other	898	PF00069:Pkinase
Q8BYN3	Itpk1	mouse	Kinase	Other	419	PF05770:Ins134_P3_kin;PF17927:Ins134_P3_kin_N
Q8BYR2	Lats1	mouse	Kinase	Other	1129	PF00069:Pkinase;PF00433:Pkinase_C;PF00627:UBA
Q8BZ03	Prkd2	mouse	Kinase	Other	875	PF00130:C1_1;PF00169:PH;PF00069:Pkinase;PF25525:Ubiquitin_PRKD1_N
Q8BZN4	Nuak2	mouse	Kinase	Other	639	PF00069:Pkinase
Q8C015	Pak5	mouse	Kinase	Other	719	PF00786:PBD;PF00069:Pkinase
Q8C050	Rps6ka5	mouse	Kinase	Other	863	PF00069:Pkinase;PF00433:Pkinase_C
Q8C078	Camkk2	mouse	Kinase	Other	588	PF00069:Pkinase
Q8C0P0	Mastl	mouse	Kinase	Other	865	PF00069:Pkinase
Q8C0Q4	Nek11	mouse	Kinase	Other	628	PF00069:Pkinase
Q8C0V0	Tlk1	mouse	Kinase	Other	766	PF00069:Pkinase
Q8C5H8	Nadk2	mouse	Kinase	Other	452	PF01513:NAD_kinase
Q8CBF3	Ephb1	mouse	Kinase	Other	984	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q8CDB0	Mknk2	mouse	Kinase	Other	459	PF00069:Pkinase
Q8CE90	Map2k7	mouse	Kinase	MAPK	535	PF00069:Pkinase
Q8CEE6	Pask	mouse	Kinase	Other	1383	PF00989:PAS;PF13426:PAS_9;PF00069:Pkinase
Q8CFH6	Sik2	mouse	Kinase	Other	931	PF00069:Pkinase;PF23312:UBA_SIK3
Q8CFV9	Rfk	mouse	Kinase	Other	155	PF01687:Flavokinase
Q8CI15	Sphk1	mouse	Kinase	Other	382	PF00781:DAGK_cat
Q8CIN4	Pak2	mouse	Kinase	Other	524	PF00786:PBD;PF00069:Pkinase
Q8CIP4	Mark4	mouse	Kinase	Other	752	PF02149:KA1;PF00069:Pkinase;PF00627:UBA
Q8CIR4	Trpm6	mouse	Kinase	Other	2028	PF02816:Alpha_kinase;PF00520:Ion_trans;PF18139:LSDAT_euk;PF25508:TRPM2;PF16519:TRPM_tetra
Q8K183	Pdxk	mouse	Kinase	Other	312	PF08543:Phos_pyr_kin
Q8K1R7	Nek9	mouse	Kinase	Other	984	PF00069:Pkinase;PF25390:WD40_RLD
Q8K348	Acvr1c	mouse	Kinase	Other	493	PF01064:Activin_recp;PF07714:PK_Tyr_Ser-Thr;PF08515:TGF_beta_GS
Q8K3H5	Myo3a	mouse	Kinase	Other	1613	PF00612:IQ;PF00063:Myosin_head;PF00069:Pkinase
Q8K4K6	Pank1	mouse	Kinase	Other	548	PF03630:Fumble
Q8K4Q7	Cerk	mouse	Kinase	MAPK	531	PF19280:CERK_C;PF00781:DAGK_cat;PF25382:PH_CERK
Q8K592	Amhr2	mouse	Kinase	Other	568	PF07714:PK_Tyr_Ser-Thr
Q8R071	Itpka	mouse	Kinase	Other	459	PF03770:IPK
Q8R2W9	Pank3	mouse	Kinase	Other	370	PF03630:Fumble
Q8R4K2	Irak4	mouse	Kinase	Other	459	PF07714:PK_Tyr_Ser-Thr
Q8VBY2	Camkk1	mouse	Kinase	Other	505	PF00069:Pkinase
Q8VC30	Tkfc	mouse	Kinase	Other	578	PF02733:Dak1;PF02734:Dak2
Q8VCQ6	Sgms1	mouse	Kinase	Other	419	PF14360:PAP2_C
Q8VCR8	Mylk2	mouse	Kinase	Other	613	PF00069:Pkinase
Q8VCS3	Fam20b	mouse	Kinase	Other	409	PF06702:Fam20C
Q8VD65	Pik3r4	mouse	Kinase	Other	1358	PF00069:Pkinase;PF22956:VPS15-like_hel;PF00400:WD40
Q8VDF3	Dapk2	mouse	Kinase	Other	370	PF00069:Pkinase
Q8VDL4	Adpgk	mouse	Kinase	Other	496	PF04587:ADP_PFK_GK
Q8VEB1	Grk5	mouse	Kinase	Other	590	PF00069:Pkinase;PF00615:RGS
Q8VHJ5	Mark1	mouse	Kinase	Other	795	PF02149:KA1;PF00069:Pkinase;PF00627:UBA
Q91VB2	Camk1g	mouse	Kinase	Other	477	PF00069:Pkinase
Q91VJ4	Stk38	mouse	Kinase	Other	465	PF00069:Pkinase;PF00433:Pkinase_C
